id,collection,title,meals,kcal,protein,fat,carb,fixed,tags,allergens,author,kind,portion_g,cook_min
b2-16,porcia,Маринованные яйца в соевом соусе,"snack,breakfast",153,13.6,9.5,2.1,1,"яйца,соя,быстро,вегетарианское,высокобелковое","яйцо,соя,глютен",Алёна,base,,15
b2-17,porcia,Копчёные перепелиные яйца с огурцом и помидором на хлебце,"snack,breakfast",227,12.0,11.7,17.9,1,"хлеб,сыр,молочное,яйца,огурец,томаты,быстро,вегетарианское,среднебелковое","яйцо,молоко,глютен",Алёна,base,,7
b2-18,porcia,Паштет из куриной печени с яблоком,"snack,breakfast",303,22.5,17.3,13.8,0,"печень,субпродукты,морковь,фрукты,молочное,хлеб,высокобелковое","молоко,глютен",Алёна,base,,45
b2-19,porcia,"Хлебцы с розмарином, толчёным авокадо и яйцом","snack,breakfast",278,10.6,17.2,18.3,1,"хлеб,авокадо,яйца,быстро,вегетарианское,среднебелковое","яйцо,глютен",Алёна,base,,12
b2-20,porcia,Греческий йогурт с орехами и шоколадным соусом,snack,270,18.0,17.8,9.9,0,"йогурт,молочное,орехи,шоколад,быстро,вегетарианское,среднебелковое,десерт,сладкое","молоко,орехи",Алёна,base,,6
b2-21,porcia,Запечённый батат с куриным филе сувид и йогуртовым соусом,"lunch,dinner",508,45.8,12.2,55.1,0,"батат,курица,йогурт,молочное,высокобелковое",молоко,Алёна,base,,45
b2-22,porcia,"Запечённый стейк форели с картофелем беби, салатом и огурцом","lunch,dinner",493,42.5,20.3,33.7,0,"рыба,красная рыба,картофель,огурец,высокобелковое",рыба,Алёна,base,,45
b2-23,porcia,Крем «Баунти» из греческого йогурта с кокосом и шоколадным соусом,snack,208,17.1,11.1,9.9,0,"йогурт,молочное,без сахара,кокос,шоколад,вегетарианское,высокобелковое,десерт,сладкое",молоко,Алёна,base,,30
b2-24,porcia,Запечённая груша с йогуртовой шапкой и грецким орехом,"snack,breakfast",218,9.5,8.7,25.1,1,"фрукты,йогурт,молочное,без сахара,орехи,вегетарианское,среднебелковое,десерт,сладкое","молоко,орехи",Алёна,base,,30
b2-25,porcia,Запечённая груша с сыром бри и грецким орехом,"snack,breakfast,dinner",351,13.0,22.3,24.4,1,"фрукты,сыр,молочное,орехи,вегетарианское,среднебелковое,десерт,сладкое","молоко,орехи",Алёна,base,,30
b2-26,porcia,Жареный сыр бри с брусничным соусом и зерновой булочкой,"lunch,dinner",596,26.2,31.3,51.1,1,"сыр,молочное,яйца,выпечка,хлеб,вегетарианское,среднебелковое","молоко,яйцо,глютен",Алёна,base,,35
b2-27,porcia,Запечённое яблоко с орехом и изюмом без сахара,snack,226,3.2,10.2,30.5,1,"фрукты,орехи,сухофрукты,без сахара,вегетарианское,низкобелковое,десерт,сладкое",орехи,Алёна,base,,40
b2-28,porcia,"Галета с грушей, голубым сыром и грецким орехом","lunch,dinner",748,18.0,49.3,57.1,1,"выпечка,молочное,фрукты,сыр,орехи,яйца,вегетарианское,низкобелковое","глютен,молоко,орехи,яйцо",Алёна,base,,90
b2-29,porcia,Ленивые голубцы,"lunch,dinner",550,38.0,22.7,46.0,0,"говядина,капуста,рис,крупа,морковь,томаты,молочное,среднебелковое",молоко,Алёна,base,,60
b2-30,porcia,"Плов с куриным бедром, морковью и зирой","lunch,dinner",774,37.4,30.4,87.4,0,"рис,крупа,курица,морковь,среднебелковое",,Алёна,base,,70
b3-31,porcia,"Овсянка на молоке с бананом, арахисовой пастой и грецким орехом",breakfast,721,25.2,32.1,82.4,0,"овсянка,крупа,молочное,фрукты,арахис,орехи,без сахара,быстро,вегетарианское,низкобелковое,сладкое","глютен,молоко,орехи,арахис",Алёна,base,,20
b3-32,porcia,"Тост с авокадо, яйцом-пашот и слабосолёной форелью","breakfast,lunch",647,35.6,37.5,36.9,1,"хлеб,авокадо,яйца,рыба,красная рыба,томаты,быстро,среднебелковое","глютен,яйцо,рыба",Алёна,base,,18
b3-33,porcia,Творожные панкейки с ягодным соусом и орехом,breakfast,659,51.8,30.4,43.7,1,"творог,молочное,яйца,овсянка,крупа,без сахара,орехи,ягоды,йогурт,вегетарианское,высокобелковое,десерт,сладкое","глютен,молоко,яйцо,орехи",Алёна,base,,35
b3-34,porcia,Яйцо-пашот на тосте с помидором и творожным сыром,"breakfast,snack",258,12.1,13.7,19.9,1,"хлеб,яйца,томаты,сыр,молочное,быстро,вегетарианское,среднебелковое","глютен,яйцо,молоко",Алёна,base,,15
b3-35,porcia,"Паста с томатным соусом, пармезаном и оливковым маслом","lunch,dinner",780,25.3,28.2,103.1,0,"паста,томаты,сыр,молочное,вегетарианское,низкобелковое","глютен,молоко",Алёна,base,,25
b3-36,porcia,"Рисовый боул с авокадо, кукурузой и маринованным огурцом","lunch,dinner",723,15.1,28.3,100.8,0,"рис,крупа,авокадо,кукуруза,огурец,морковь,кунжут,семена,соя,вегетарианское,низкобелковое","соя,глютен,кунжут",Алёна,base,,25
b3-37,porcia,Грибное ризотто с пармезаном,"lunch,dinner",714,21.1,29.0,90.6,0,"рис,крупа,грибы,молочное,сыр,вегетарианское,низкобелковое",молоко,Алёна,base,,35
b3-38,porcia,"Кесадилья с фасолью, кукурузой и сыром","lunch,dinner",877,31.3,36.8,100.1,1,"лепёшка,бобовые,кукуруза,сыр,молочное,перец,томаты,авокадо,вегетарианское,низкобелковое","глютен,молоко",Алёна,base,,25
b4-39,porcia,"Паста алио-олио с вялеными томатами, оливками и хлебной крошкой","lunch,dinner",1015,28.9,38.3,133.5,0,"паста,томаты,оливки,хлеб,сыр,молочное,вегетарианское,низкобелковое","глютен,молоко",Алёна,base,,25
b4-40,porcia,"Тажин из нута с курагой, морковью и кускусом","lunch,dinner",1044,33.3,35.0,142.5,0,"крупа,бобовые,морковь,сухофрукты,орехи,томаты,вегетарианское,низкобелковое","глютен,орехи",Алёна,base,,35
b4-41,porcia,"Омлет с грибами, шпинатом и пармезаном на тосте","breakfast,lunch",500,34.6,26.8,26.1,1,"яйца,грибы,шпинат,зелень,сыр,молочное,хлеб,томаты,быстро,вегетарианское,среднебелковое","яйцо,молоко,глютен",Алёна,base,,18
b4-42,porcia,"Завтрак-буррито со скрэмблом, фасолью и авокадо","breakfast,lunch",589,28.9,29.9,47.3,1,"лепёшка,яйца,бобовые,авокадо,сыр,молочное,томаты,быстро,вегетарианское,среднебелковое","глютен,яйцо,молоко",Алёна,base,,18
b4-43,porcia,"Смузи-боул с бананом, клубникой, йогуртом и мюсли","breakfast,snack",469,22.5,12.6,63.6,0,"фрукты,ягоды,йогурт,молочное,овсянка,крупа,орехи,семена,быстро,вегетарианское,среднебелковое,десерт,сладкое","молоко,глютен,орехи",Алёна,base,,7
b4-44,porcia,"Ореховый микс с курагой, изюмом и тёмным шоколадом",snack,431,10.0,26.7,37.3,0,"орехи,сухофрукты,шоколад,быстро,вегетарианское,низкобелковое,десерт,сладкое",орехи,Алёна,base,,10
b4-45,porcia,"Тост с арахисовой пастой, бананом и кокосом","snack,breakfast",380,11.2,14.1,49.6,1,"хлеб,арахис,орехи,фрукты,кокос,быстро,вегетарианское,низкобелковое,десерт,сладкое","глютен,арахис",Алёна,base,,5
b4-46,porcia,Финиковые шарики с грецким орехом и кокосом,snack,403,6.8,15.2,58.8,1,"сухофрукты,овсянка,крупа,орехи,кокос,вегетарианское,низкобелковое,десерт,сладкое","глютен,орехи",Алёна,base,,45
